sample,logged_at,pm10,pm25
362,2023-10-25 22:08:08,55.49,23.5
363,2023-10-25 22:10:34,52.0,22.74
364,2023-10-25 22:13:01,54.96,21.73
365,2023-10-25 22:15:28,53.51,21.59
366,2023-10-25 22:17:54,50.86,21.9
367,2023-10-25 22:20:20,50.58,21.24
368,2023-10-25 22:22:47,52.51,20.88
369,2023-10-25 22:25:13,50.09,20.79
370,2023-10-25 22:27:39,54.92,21.04
371,2023-10-25 22:30:05,54.32,20.32
372,2023-10-25 22:32:32,40.81,18.91
373,2023-10-25 22:34:58,42.25,18.74
374,2023-10-25 22:37:24,44.72,18.48
375,2023-10-25 22:39:51,44.91,18.34
376,2023-10-25 22:42:17,40.75,18.36
377,2023-10-25 22:44:43,36.88,17.85
378,2023-10-25 22:47:09,34.89,17.55
379,2023-10-25 22:49:35,32.2,17.11
380,2023-10-25 22:52:02,72.81,19.24
381,2023-10-25 22:54:29,81.47,19.19
382,2023-10-25 22:56:55,42.88,16.78
383,2023-10-25 22:59:22,43.38,17.02
384,2023-10-25 23:01:48,38.42,17.05
385,2023-10-25 23:04:14,36.17,16.42
386,2023-10-25 23:06:40,32.04,15.05
387,2023-10-25 23:09:09,32.96,15.4
388,2023-10-25 23:11:35,48.69,16.92
389,2023-10-25 23:14:01,57.86,17.76
390,2023-10-25 23:16:27,42.53,16.81
391,2023-10-25 23:18:55,39.42,16.42
392,2023-10-25 23:21:21,40.84,16.52
393,2023-10-25 23:23:47,60.62,17.81
394,2023-10-25 23:26:13,57.52,17.69
395,2023-10-25 23:28:39,35.84,16.06
396,2023-10-25 23:31:05,33.56,15.66
397,2023-10-25 23:33:31,34.11,16.42
398,2023-10-25 23:35:58,38.88,16.75
399,2023-10-25 23:40:51,39.89,17.2
400,2023-10-25 23:43:17,40.47,17.13
401,2023-10-25 23:45:47,35.82,16.25
402,2023-10-25 23:48:16,50.49,16.82
403,2023-10-25 23:50:42,56.35,16.88
404,2023-10-25 23:53:08,48.91,16.96
405,2023-10-25 23:55:34,40.36,17.18
406,2023-10-25 23:58:00,52.34,17.49
407,2023-10-26 00:00:26,46.57,16.76
408,2023-10-26 00:02:52,33.96,15.43
409,2023-10-26 00:05:18,33.18,15.6
410,2023-10-26 00:07:44,28.76,14.93
411,2023-10-26 00:10:11,30.08,14.64
412,2023-10-26 00:12:36,48.56,17.25
413,2023-10-26 00:15:03,48.44,17.0
414,2023-10-26 00:17:30,34.66,15.18
415,2023-10-26 00:19:56,96.62,19.19
416,2023-10-26 00:22:22,124.62,20.48
417,2023-10-26 00:27:15,61.58,16.61
418,2023-10-26 00:29:41,39.79,15.66
419,2023-10-26 00:32:07,158.08,23.24
420,2023-10-26 00:34:33,165.88,23.84
421,2023-10-26 00:36:59,133.98,20.38
422,2023-10-26 00:39:25,102.19,18.75
423,2023-10-26 00:41:50,39.51,15.57
424,2023-10-26 00:44:16,41.44,15.84
425,2023-10-26 00:46:43,44.68,16.39
426,2023-10-26 00:49:09,47.58,17.17
427,2023-10-26 00:51:35,48.38,17.95
428,2023-10-26 00:54:01,98.16,19.71
429,2023-10-26 00:56:27,107.76,20.66
430,2023-10-26 00:58:53,79.24,19.98
431,2023-10-26 01:01:20,130.19,23.72
432,2023-10-26 01:03:46,110.86,23.69
433,2023-10-26 01:06:16,132.3,25.56
434,2023-10-26 01:11:10,139.57,26.27
435,2023-10-26 01:13:36,388.34,48.35
436,2023-10-26 01:16:02,604.89,66.16
437,2023-10-26 01:18:29,475.38,57.01
438,2023-10-26 01:20:54,328.62,46.82
439,2023-10-26 01:23:20,255.23,41.33
440,2023-10-26 01:25:46,100.95,30.12
441,2023-10-26 01:28:12,179.78,37.5
442,2023-10-26 01:30:38,229.5,39.48
443,2023-10-26 01:33:04,196.8,34.6
444,2023-10-26 01:35:30,173.0,34.24
445,2023-10-26 01:37:56,238.5,40.03
446,2023-10-26 01:40:22,399.42,49.85
447,2023-10-26 01:42:48,265.3,40.15
448,2023-10-26 01:45:14,71.01,30.08
449,2023-10-26 01:47:40,75.1,29.86
450,2023-10-26 01:50:06,71.0,27.7
451,2023-10-26 01:52:33,69.0,28.55
452,2023-10-26 01:54:59,66.66,28.91
453,2023-10-26 01:57:25,70.04,30.94
454,2023-10-26 01:59:51,76.75,33.34
455,2023-10-26 02:02:17,80.78,34.06
456,2023-10-26 02:04:43,80.22,34.22
457,2023-10-26 02:07:09,78.98,34.18
458,2023-10-26 02:09:35,74.53,33.28
459,2023-10-26 02:12:01,67.24,30.65
460,2023-10-26 02:14:27,60.58,28.55
461,2023-10-26 02:16:53,62.45,27.88
462,2023-10-26 02:19:19,61.66,27.31
463,2023-10-26 02:21:45,54.76,23.36
464,2023-10-26 02:24:11,50.25,23.78
465,2023-10-26 02:26:37,49.88,25.54
466,2023-10-26 02:29:03,46.08,22.16
467,2023-10-26 02:31:29,44.38,21.3
468,2023-10-26 02:33:55,44.66,23.03
469,2023-10-26 02:36:21,42.44,22.56
470,2023-10-26 02:41:13,39.06,19.12
471,2023-10-26 02:43:38,33.58,16.82
472,2023-10-26 02:46:04,33.79,17.84
473,2023-10-26 02:48:31,34.14,18.15
474,2023-10-26 02:50:57,34.62,17.51
475,2023-10-26 02:53:22,33.44,17.22
476,2023-10-26 02:55:48,31.75,16.84
477,2023-10-26 02:58:14,29.78,15.88
478,2023-10-26 03:00:40,27.82,14.7
479,2023-10-26 03:03:06,27.61,14.45
480,2023-10-26 03:05:32,27.95,14.68
481,2023-10-26 03:07:58,25.76,13.78
482,2023-10-26 03:10:24,23.86,12.69
483,2023-10-26 03:15:16,25.17,12.32
484,2023-10-26 03:17:42,19.72,10.46
485,2023-10-26 03:20:09,18.49,10.36
486,2023-10-26 03:22:35,17.99,9.78
487,2023-10-26 03:25:01,16.49,8.62
488,2023-10-26 03:27:26,14.21,8.46
489,2023-10-26 03:29:52,15.5,9.09
490,2023-10-26 03:32:18,16.09,9.07
491,2023-10-26 03:34:44,15.76,9.01
492,2023-10-26 03:37:10,15.24,8.82
493,2023-10-26 03:39:36,14.66,8.25
494,2023-10-26 03:42:02,15.35,8.5
495,2023-10-26 03:44:28,15.71,9.5
496,2023-10-26 03:46:55,17.01,10.02
497,2023-10-26 03:49:21,15.76,9.62
498,2023-10-26 03:51:57,14.88,9.35
499,2023-10-26 03:54:25,15.25,9.43
500,2023-10-26 03:59:18,17.91,10.3
501,2023-10-26 04:01:48,17.42,10.25
502,2023-10-26 04:04:15,17.27,10.26
503,2023-10-26 04:06:41,18.76,10.39
504,2023-10-26 04:09:07,18.92,10.38
505,2023-10-26 04:11:34,17.59,10.58
506,2023-10-26 04:14:02,16.14,9.85
507,2023-10-26 04:16:28,16.91,9.66
508,2023-10-26 04:18:57,17.02,9.69
509,2023-10-26 04:21:30,17.02,9.83
510,2023-10-26 04:23:56,17.24,9.8
511,2023-10-26 04:26:22,16.92,9.61
512,2023-10-26 04:28:49,18.08,9.88
513,2023-10-26 04:31:15,16.81,9.59
514,2023-10-26 04:33:41,15.47,8.96
515,2023-10-26 04:36:07,15.89,8.82
516,2023-10-26 04:41:00,15.77,8.73
517,2023-10-26 04:43:26,15.6,8.91
518,2023-10-26 04:45:52,16.71,9.06
519,2023-10-26 04:48:18,15.66,8.6
520,2023-10-26 04:50:44,13.62,8.18
521,2023-10-26 04:53:10,14.37,8.26
522,2023-10-26 04:55:36,14.92,8.26
523,2023-10-26 04:58:02,13.74,8.05
524,2023-10-26 05:00:28,13.0,7.45
525,2023-10-26 05:02:54,12.85,7.15
526,2023-10-26 05:05:20,11.92,6.9
527,2023-10-26 05:07:46,13.86,7.28
528,2023-10-26 05:10:13,16.71,8.71
529,2023-10-26 05:12:39,14.91,9.07
530,2023-10-26 05:15:05,16.19,9.52
531,2023-10-26 05:17:31,16.12,9.22
532,2023-10-26 05:19:57,15.72,8.91
533,2023-10-26 05:22:23,14.42,8.55
534,2023-10-26 05:24:49,15.27,8.41
535,2023-10-26 05:27:15,18.64,9.16
536,2023-10-26 05:29:41,19.16,9.1
537,2023-10-26 05:32:07,17.0,9.3
538,2023-10-26 05:34:33,16.8,9.76
539,2023-10-26 05:36:59,17.46,8.94
540,2023-10-26 05:39:26,16.16,8.75
541,2023-10-26 05:41:52,16.23,9.38
542,2023-10-26 05:44:18,16.28,9.48
543,2023-10-26 05:46:44,15.78,9.0
544,2023-10-26 05:49:10,15.39,8.84
545,2023-10-26 05:51:36,14.02,8.82
546,2023-10-26 05:54:02,13.6,8.8
547,2023-10-26 05:56:28,13.58,8.72
548,2023-10-26 05:58:54,12.82,7.58
549,2023-10-26 06:01:20,13.72,7.83
550,2023-10-26 06:03:46,15.01,8.58
551,2023-10-26 06:06:12,15.74,8.22
552,2023-10-26 06:11:04,15.39,8.58
553,2023-10-26 06:13:30,15.39,8.29
554,2023-10-26 06:15:56,14.2,7.56
555,2023-10-26 06:18:21,14.48,8.33
556,2023-10-26 06:20:48,16.81,9.36
557,2023-10-26 06:23:14,15.73,8.78
558,2023-10-26 06:25:40,13.58,7.6
559,2023-10-26 06:28:06,14.62,7.92
560,2023-10-26 06:30:32,14.01,7.76
561,2023-10-26 06:32:58,11.88,7.01
562,2023-10-26 06:35:24,11.42,6.66
563,2023-10-26 06:37:50,14.3,6.68
564,2023-10-26 06:40:16,14.08,6.62
565,2023-10-26 06:45:08,11.22,6.55
566,2023-10-26 06:47:34,12.52,6.89
567,2023-10-26 06:50:00,12.35,6.42
568,2023-10-26 06:52:26,11.76,6.8
569,2023-10-26 06:54:52,12.6,7.72
570,2023-10-26 06:57:18,12.52,7.8
571,2023-10-26 06:59:46,12.28,7.56
572,2023-10-26 07:02:12,13.0,7.56
573,2023-10-26 07:04:38,12.89,7.55
574,2023-10-26 07:07:05,12.1,7.4
575,2023-10-26 07:09:30,12.24,7.36
576,2023-10-26 07:11:56,12.06,6.82
577,2023-10-26 07:14:23,11.36,6.1
578,2023-10-26 07:16:49,11.01,6.04
579,2023-10-26 07:19:15,10.97,6.27
580,2023-10-26 07:21:41,12.59,6.61
581,2023-10-26 07:24:07,12.81,6.6
582,2023-10-26 07:26:33,11.34,7.0
583,2023-10-26 07:28:59,10.82,6.66
584,2023-10-26 07:31:25,11.06,6.68
585,2023-10-26 07:33:51,10.62,6.42
586,2023-10-26 07:36:19,12.73,6.79
587,2023-10-26 07:38:46,14.34,7.16
588,2023-10-26 07:41:12,12.09,6.86
589,2023-10-26 07:43:37,10.32,6.19
590,2023-10-26 07:46:03,10.71,6.02
591,2023-10-26 07:48:29,12.4,6.7
592,2023-10-26 07:50:55,12.5,6.93
593,2023-10-26 07:53:21,13.46,7.01
594,2023-10-26 07:55:47,14.19,6.89
595,2023-10-26 07:58:13,12.98,6.86
596,2023-10-26 08:00:38,11.16,6.8
597,2023-10-26 08:03:04,12.21,7.02
598,2023-10-26 08:05:30,12.12,7.48
599,2023-10-26 08:07:56,12.2,7.57
600,2023-10-26 08:10:22,12.6,7.15
601,2023-10-26 08:12:49,12.52,6.96
602,2023-10-26 08:15:15,13.09,7.1
603,2023-10-26 08:17:41,14.33,7.33
604,2023-10-26 08:20:08,13.46,6.99
605,2023-10-26 08:22:34,14.01,7.43
