sample_index,pm25_ugm3,pm10_ugm3
929,13.9,162.8
930,14.7,179.4
931,14.8,198.6
932,15.8,215.1
933,16.8,236.4
934,17.8,261.6
935,18.5,274.5
936,18.6,277.0
937,18.7,283.9
938,19.0,292.4
939,19.1,296.6
940,19.3,304.0
941,19.2,306.2
942,19.3,307.8
943,19.5,311.7
944,19.7,316.1
945,20.1,322.0
946,20.3,326.1
947,20.3,330.4
948,20.4,336.7
949,20.4,336.5
950,20.6,339.0
951,20.8,345.7
952,20.9,349.3
953,21.0,352.7
954,21.4,361.9
955,21.4,368.9
956,20.9,359.1
957,20.2,346.4
958,19.9,339.8
959,19.6,329.6
960,18.3,308.2
961,17.5,296.1
962,16.3,281.1
963,15.0,263.3
964,13.9,239.2
965,13.4,231.2
966,13.1,229.3
967,12.9,225.3
968,12.5,223.3
969,12.2,221.1
970,12.2,224.4
971,12.6,221.4
972,12.8,219.5
973,12.9,218.4
974,12.7,215.0
975,12.3,212.9
976,12.3,210.1
977,12.2,208.1
978,12.1,203.7
979,12.2,204.9
980,12.3,203.0
981,12.2,200.7
982,12.2,186.7
983,12.0,173.5
984,11.1,153.7
985,10.9,140.6
986,10.8,137.3
987,10.8,135.3
988,11.1,142.6
989,11.2,142.6
990,11.3,144.5
991,11.6,136.5
992,12.0,136.6
993,12.1,134.2
994,12.1,135.0
995,11.8,127.2
996,11.7,125.6
997,11.5,120.1
998,11.2,111.2
999,11.0,106.2
1000,10.5,96.2
1001,10.3,97.4
1002,10.2,97.4
1003,10.2,97.4
1004,10.7,95.2
1005,10.8,91.8
1006,10.9,92.0
1007,11.0,90.7
1008,11.0,86.5
1009,11.1,81.8
1010,11.3,81.5
1011,11.5,78.7
1012,12.3,75.6
1013,12.3,74.0
1014,12.4,74.5
1015,12.4,70.5
1016,12.5,66.6
1017,12.5,65.0
1018,12.3,58.3
1019,12.4,56.2
1020,12.3,55.2
1021,11.9,56.9
1022,11.5,54.7
1023,11.9,52.6
1024,12.2,52.7
1025,12.5,53.0
1026,12.9,51.5
1027,13.1,53.7
1028,13.4,54.7
1029,13.6,57.7
1030,13.7,56.5
1031,13.6,55.4
1032,13.5,57.7
1033,13.2,56.7
1034,12.6,56.8
1035,12.4,61.7
1036,12.0,60.6
1037,11.9,59.5
1038,12.3,62.2
1039,12.7,68.3
1040,13.3,70.1
1041,14.6,70.2
1042,14.1,71.3
1043,15.2,81.0
1044,16.9,88.5
1045,17.5,91.2
1046,17.9,97.5
1047,18.3,102.2
1048,18.8,104.9
1049,19.1,107.5
1050,19.5,113.5
1051,19.8,113.2
1052,20.0,115.2
1053,19.6,115.0
1054,19.1,112.3
1055,18.8,112.8
1056,18.5,113.1
1057,18.3,111.1
1058,18.1,112.2
1059,17.9,111.1
1060,18.0,118.7
1061,17.9,120.4
1062,17.7,121.1
1063,17.6,121.0
1064,17.6,121.2
1065,17.5,117.3
1066,17.5,116.5
1067,17.3,116.8
1068,16.8,116.5
1069,16.1,110.1
1070,15.0,108.6
1071,13.3,106.7
1072,12.5,104.1
1073,11.3,97.6
1074,9.5,90.0
1075,8.7,88.4
1076,8.0,82.1
1077,7.4,75.6
1078,6.8,73.7
1079,6.3,69.7
1080,5.7,64.9
1081,5.4,65.5
1082,5.1,67.5
1083,5.0,68.6
1084,5.0,68.6
1085,5.0,67.5
1086,4.9,67.1
1087,5.0,71.0
1088,4.9,69.8
1089,4.9,68.4
1090,4.7,61.4
1091,4.8,59.6
1092,4.8,59.2
1093,4.8,58.0
1094,4.9,58.7
1095,4.9,56.9
1096,4.8,56.4
1097,4.8,55.6
1098,4.8,54.0
1099,4.8,54.8
1100,4.8,54.1
1101,4.7,52.5
1102,4.9,56.5
1103,4.8,54.2
1104,4.6,54.0
1105,4.5,51.8
1106,4.4,51.8
1107,4.3,51.9
1108,4.3,50.3
1109,4.2,50.7
1110,4.2,48.4
1111,4.1,46.4
1112,4.0,42.6
1113,3.8,41.2
1114,3.8,41.0
1115,3.7,41.0
1116,3.7,40.4
1117,3.6,38.1
1118,3.5,37.8
1119,3.5,37.8
1120,3.5,37.3
1121,3.3,36.5
1122,3.3,34.1
1123,3.3,32.7
1124,3.2,30.3
1125,3.2,31.6
1126,3.2,32.7
1127,3.2,33.6
1128,3.2,33.4
1129,3.2,35.1
1130,3.1,34.2
1131,3.1,33.5
1132,2.9,29.9
1133,2.8,28.7
1134,2.8,27.5
1135,2.8,28.1
1136,2.8,27.8
1137,2.8,28.2
1138,2.8,28.1
1139,2.8,28.9
1140,2.9,30.4
1141,2.9,31.1
1142,2.9,30.0
1143,2.9,30.1
1144,2.9,30.1
1145,3.0,30.1
1146,3.0,30.6
1147,3.1,28.8
1148,3.5,28.6
1149,3.8,28.0
1150,4.0,27.2
1151,4.4,25.4
1152,4.8,24.3
1153,5.0,25.4
1154,5.2,25.7
1155,5.2,26.5
1156,5.2,25.7
1157,5.2,24.0
1158,5.3,23.5
1159,5.3,23.1
1160,5.3,23.1
1161,5.4,23.7
1162,5.3,23.3
1163,5.6,24.4
1164,5.8,25.2
1165,6.4,26.0
1166,7.5,30.8
1167,7.6,33.2
1168,7.7,32.9
1169,7.8,31.4
1170,7.7,29.9
1171,7.8,30.1
1172,7.8,30.1
1173,7.9,29.3
1174,8.1,29.5
1175,8.1,29.1
1176,8.2,28.3
1177,8.1,28.9
1178,7.7,29.8
1179,7.4,29.4
1180,7.2,31.2
1181,6.9,31.8
1182,6.3,31.1
1183,6.1,31.6
1184,6.0,32.8
1185,6.1,34.1
1186,6.1,34.9
1187,6.2,35.2
1188,6.2,35.8
1189,6.2,33.5
1190,6.2,35.2
1191,6.3,36.1
1192,6.5,36.5
1193,6.3,35.4
1194,6.2,34.5
1195,5.8,34.9
1196,4.9,32.7
1197,5.0,30.8
1198,5.3,32.1
1199,5.8,38.4
1200,6.4,40.2
1201,11.4,45.0
1202,20.9,52.2
1203,22.0,53.8
1204,23.0,55.6
1205,23.7,56.7
1206,24.8,58.1
1207,25.4,58.7
1208,25.7,58.2
1209,26.0,58.2
1210,26.1,56.3
1211,26.1,55.4
1212,26.1,55.4
1213,26.2,53.9
1214,26.1,52.5
1215,25.9,47.9
1216,25.8,46.5
1217,25.7,46.1
1218,25.6,45.3
1219,25.6,46.0
1220,25.5,44.2
1221,25.4,43.4
1222,25.3,42.8
1223,25.1,42.7
1224,25.0,42.6
1225,24.7,40.7
1226,24.5,38.1
1227,24.4,37.6
1228,23.9,36.9
1229,23.4,30.6
1230,22.8,29.6
1231,17.7,23.4
1232,8.2,16.1
1233,7.1,14.6
1234,5.9,12.6
1235,5.1,11.3
1236,4.0,9.9
1237,3.4,10.3
1238,3.0,10.3
1239,2.7,9.8
1240,2.5,10.1
1241,2.5,10.2
1242,2.6,10.2
1243,2.5,10.1
1244,2.5,10.4
1245,2.5,10.4
1246,2.6,11.5
1247,2.6,11.6
1248,2.7,11.6
1249,2.7,10.9
1250,2.7,10.9
1251,2.6,10.4
1252,2.7,11.4
1253,2.8,11.5
1254,2.8,12.7
1255,2.9,12.8
1256,2.9,12.8
1257,2.9,13.0
1258,3.0,12.4
1259,3.0,12.4
1260,3.1,11.7
1261,3.1,11.9
1262,3.2,12.6
1263,3.2,13.2
1264,3.3,13.2
1265,3.3,14.1
1266,3.4,14.1
1267,3.3,12.3
1268,3.4,12.0
1269,3.5,12.1
1270,3.5,11.7
1271,3.7,12.0
1272,3.7,12.3
1273,3.8,12.4
1274,3.9,11.8
1275,3.9,11.9
1276,3.9,10.8
1277,4.0,10.8
1278,4.0,10.8
1279,4.0,11.4
